 ;AAA;Current boundaries as at ;    ;20130111                 ; ;                         ;    ;
A;FED;ACTON                    ;2601;FRASER                   ;N;                         ;    ;
A;FED;AINSLIE                  ;2602;FRASER                   ;N;                         ;    ;
A;FED;AMAROO                   ;2914;FRASER                   ;N;                         ;    ;
A;FED;ARANDA                   ;2614;FRASER                   ;N;                         ;    ;
A;FED;BANKS                    ;2906;CANBERRA                 ;N;                         ;    ;
A;FED;BARTON                   ;2600;CANBERRA                 ;N;                         ;    ;
A;FED;BEARD                    ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;BELCONNEN                ;2617;FRASER                   ;N;                         ;    ;
A;FED;BELCONNEN DISTRICT       ;2617;FRASER                   ;N;                         ;    ;
A;FED;BONNER                   ;2914;FRASER                   ;N;                         ;    ;
A;FED;BONYTHON                 ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;BOOTH DISTRICT           ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;BRADDON                  ;2612;FRASER                   ;N;                         ;    ;
A;FED;BRUCE                    ;2617;FRASER                   ;N;                         ;    ;
A;FED;CALWELL                  ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;CAMPBELL                 ;2612;FRASER                   ;N;                         ;    ;
A;FED;CANBERRA CENTRAL         ;2601;FRASER                   ;N;                         ;    ;
A;FED;CANBERRA CITY            ;2601;FRASER                   ;N;                         ;    ;
A;FED;CASEY                    ;2913;FRASER                   ;N;                         ;    ;
A;FED;CHAPMAN                  ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;CHARNWOOD                ;2615;FRASER                   ;N;                         ;    ;
A;FED;CHIFLEY                  ;2606;CANBERRA                 ;N;                         ;    ;
A;FED;CHISHOLM                 ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;CONDER                   ;2906;CANBERRA                 ;N;                         ;    ;
A;FED;COOK                     ;2614;FRASER                   ;N;                         ;    ;
A;FED;COREE DISTRICT           ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;CORIN DAM                ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;COTTER DAM               ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;COTTER RIVER DISTRICT    ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;CRACE                    ;2911;FRASER                   ;N;                         ;    ;
A;FED;CURTIN                   ;2605;CANBERRA                 ;N;                         ;    ;
A;FED;DEAKIN                   ;2600;CANBERRA                 ;N;                         ;    ;
A;FED;DICKSON                  ;2602;FRASER                   ;N;                         ;    ;
A;FED;DOWNER                   ;2602;FRASER                   ;N;                         ;    ;
A;FED;DUFFY                    ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;DUNLOP                   ;2615;FRASER                   ;N;                         ;    ;
A;FED;EVATT                    ;2617;FRASER                   ;N;                         ;    ;
A;FED;FADDEN                   ;2904;CANBERRA                 ;N;                         ;    ;
A;FED;FARRER                   ;2607;CANBERRA                 ;N;                         ;    ;
A;FED;FISHER                   ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;FLOREY                   ;2615;FRASER                   ;N;                         ;    ;
A;FED;FLYNN                    ;2615;FRASER                   ;N;                         ;    ;
A;FED;FORDE                    ;2914;FRASER                   ;N;                         ;    ;
A;FED;FORREST                  ;2603;CANBERRA                 ;N;                         ;    ;
A;FED;FRANKLIN                 ;2913;FRASER                   ;N;                         ;    ;
A;FED;FRASER                   ;2615;FRASER                   ;N;                         ;    ;
A;FED;FYSHWICK                 ;2609;CANBERRA                 ;N;                         ;    ;
A;FED;GARRAN                   ;2605;CANBERRA                 ;N;                         ;    ;
A;FED;GILMORE                  ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;GIRALANG                 ;2617;FRASER                   ;N;                         ;    ;
A;FED;GORDON                   ;2906;CANBERRA                 ;N;                         ;    ;
A;FED;GOWRIE                   ;2904;CANBERRA                 ;N;                         ;    ;
A;FED;GREENWAY                 ;2900;CANBERRA                 ;N;                         ;    ;
A;FED;GRIFFITH                 ;2603;CANBERRA                 ;N;                         ;    ;
A;FED;GUNGAHLIN                ;2912;FRASER                   ;N;                         ;    ;
A;FED;GUNGAHLIN DISTRICT       ;2912;FRASER                   ;N;                         ;    ;
A;FED;HACKETT                  ;2602;FRASER                   ;N;                         ;    ;
A;FED;HALL                     ;2618;FRASER                   ;N;                         ;    ;
A;FED;HARRISON                 ;2914;FRASER                   ;N;                         ;    ;
A;FED;HAWKER                   ;2614;FRASER                   ;N;                         ;    ;
A;FED;HIGGINS                  ;2615;FRASER                   ;N;                         ;    ;
A;FED;HMAS HARMAN              ;2600;CANBERRA                 ;N;                         ;    ;
A;FED;HOLDER                   ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;HOLT                     ;2615;FRASER                   ;N;                         ;    ;
A;FED;HUGHES                   ;2605;CANBERRA                 ;N;                         ;    ;
A;FED;HUME                     ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;ISAACS                   ;2607;CANBERRA                 ;N;                         ;    ;
A;FED;ISABELLA PLAINS          ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;JACKA                    ;2914;FRASER                   ;N;                         ;    ;
A;FED;JERRABOMBERRA DISTRICT   ;2609;CANBERRA                 ;N;                         ;    ;
A;FED;JERVIS BAY               ;2540;FRASER                   ;N;                         ;    ;
A;FED;KALEEN                   ;2617;FRASER                   ;N;                         ;    ;
A;FED;KAMBAH                   ;2902;CANBERRA                 ;N;                         ;    ;
A;FED;KINGSTON                 ;2604;CANBERRA                 ;N;                         ;    ;
A;FED;KINLEYSIDE               ;2618;FRASER                   ;N;                         ;    ;
A;FED;KOWEN DISTRICT           ;2620;FRASER                   ;N;                         ;    ;
A;FED;KOWEN FOREST             ;2620;FRASER                   ;N;                         ;    ;
A;FED;LATHAM                   ;2615;FRASER                   ;N;                         ;    ;
A;FED;LYNEHAM                  ;2602;FRASER                   ;N;                         ;    ;
A;FED;LYONS                    ;2606;CANBERRA                 ;N;                         ;    ;
A;FED;MACARTHUR                ;2904;CANBERRA                 ;N;                         ;    ;
A;FED;MACGREGOR                ;2615;FRASER                   ;N;                         ;    ;
A;FED;MACQUARIE                ;2614;FRASER                   ;N;                         ;    ;
A;FED;MAJURA DISTRICT          ;2609;FRASER                   ;N;                         ;    ;
A;FED;MAWSON                   ;2607;CANBERRA                 ;N;                         ;    ;
A;FED;MCKELLAR                 ;2617;FRASER                   ;N;                         ;    ;
A;FED;MELBA                    ;2615;FRASER                   ;N;                         ;    ;
A;FED;MITCHELL                 ;2911;FRASER                   ;N;                         ;    ;
A;FED;MOLONGLO VALLEY DISTRICT ;2611;FRASER                   ;N;                         ;    ;
A;FED;MONASH                   ;2904;CANBERRA                 ;N;                         ;    ;
A;FED;MOUNT STROMLO            ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;NARRABUNDAH              ;2604;CANBERRA                 ;N;                         ;    ;
A;FED;NGUNNAWAL                ;2913;FRASER                   ;N;                         ;    ;
A;FED;NICHOLLS                 ;2913;FRASER                   ;N;                         ;    ;
A;FED;O'CONNOR                 ;2602;FRASER                   ;N;                         ;    ;
A;FED;O'MALLEY                 ;2606;CANBERRA                 ;N;                         ;    ;
A;FED;OAKS ESTATE              ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;OXLEY                    ;2903;CANBERRA                 ;N;                         ;    ;
A;FED;PADDYS RIVER DISTRICT    ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;PAGE                     ;2614;FRASER                   ;N;                         ;    ;
A;FED;PALMERSTON               ;2913;FRASER                   ;N;                         ;    ;
A;FED;PARKES                   ;2600;CANBERRA                 ;N;                         ;    ;
A;FED;PARKES                   ;2600;FRASER                   ;N;                         ;    ;
A;FED;PEARCE                   ;2607;CANBERRA                 ;N;                         ;    ;
A;FED;PHILLIP                  ;2606;CANBERRA                 ;N;                         ;    ;
A;FED;PIALLIGO                 ;2609;FRASER                   ;N;                         ;    ;
